,img_name,label_name
35,하이웨스트익선36,"Building,Marketplace,Market,Whole food,Interior design,Local food,Architecture,Brunch,Supermarket,Grocery store"
36,하이웨스트익선37,"Building,Brunch,Interior design,Restaurant,Room,Table,Furniture,Marketplace,Market,Local food"
37,하이웨스트익선38,"Food,Cuisine,Dish,Brunch,Meal,Kielbasa,Ingredient,Charcuterie,Snack,Frankfurter w?stchen"
38,하이웨스트익선39,"Food,Cuisine,P?isserie,Dish,Dessert,Sweetness,Bakery,Baking,Ingredient,Baked goods"
39,하이웨스트익선40,"Light fixture,Lighting accessory,Lighting,Ceiling,Chandelier,Lampshade,Lamp,Ceiling fixture,Interior design,Room"
40,하이웨스트익선41,"Food,Breakfast,Brunch,Dish,Meal,Cuisine,Ingredient,Full breakfast,Drink,Finger food"
41,하이웨스트익선42,"Building,Room,Wall,Shelf,Interior design,Furniture,Architecture,Shelving,Pantry,Ceiling"
42,하이웨스트익선43,"Food,Cuisine,Dish,Meal,Brunch,Delicacy,Delicatessen,?la carte food,appetizer,Finger food"
43,하이웨스트익선44,"Food,Dish,Cuisine,Drink,Ingredient,Brunch,Caf?au lait,Cup,Breakfast,Coffee"
44,하이웨스트익선45,"Text,Sweetness,Hand,Comfort food,Food,Finger,Drink,Take-out food,Square,Breakfast"
45,하이웨스트익선46,"Meal,Food,Brunch,Dish,Cuisine,Finger food,Dessert,Table,Breakfast,Baking"
46,하이웨스트익선47,"Food,Dish,Brunch,Cuisine,Baking,Dessert,Meal,Ingredient,Snack,Breakfast"
47,하이웨스트익선48,"Building,Interior design,Room,Brunch,Meal,Food,Lunch,House,Furniture"
48,하이웨스트익선49,"Christmas decoration,Branch,Room,Christmas tree,Christmas stocking,Twig,Tree,Interior design,Home,Plant"
49,하이웨스트익선50,"Building,Local food,Brunch,Marketplace,Interior design,Market,Natural foods,Whole food,Food,Ceiling"
50,하이웨스트익선51,"Meal,Brunch,Food,Dish,Cuisine,Breakfast,Ingredient,Bakery,Delicacy,Buffet"
51,하이웨스트익선52,"Building,Room,Furniture,Property,Interior design,Wall,Bar stool,Shelf,Countertop,House"
52,하이웨스트익선53,"Food,Coffee,Breakfast,Drink,Brunch,Dish,Meal,Coffee cup,Cappuccino,Ingredient"
53,하이웨스트익선54,"Building,Property,Home,Door,Facade,House,Column,Architecture,Porch,Real estate"
54,하이웨스트익선55,"Dish,Food,Cuisine,Dessert,Ingredient,Sweetness,Baked goods,Pastry,Mascarpone,P?isserie"
55,하이웨스트익선56,"Room,Ceiling,Building,Property,Interior design,Beam,Lighting,Furniture,House,Table"
56,하이웨스트익선57,"Marketplace,Delicatessen,Whole food,Market,Building,Food,Grocery store,Local food,Delicacy,Confectionery"
57,하이웨스트익선58,"P?isserie,Bakery,Food,Delicatessen,Bake sale,Brunch,Cuisine,Sweetness,Pastry,Confectionery"
58,하이웨스트익선59,"Pretzel,Food,Snack,Cuisine,Material property,Chistorra,Longaniza,Fashion accessory,Dish,Metal"
59,하이웨스트익선60,"Dish,Food,Cuisine,Meal,Brunch,Breakfast,Ingredient,Full breakfast,appetizer,Finger food"
60,하이웨스트익선61,"Food,Cuisine,Meal,Dish,Brunch,Delicacy,Ingredient,appetizer,Breakfast,Finger food"
61,하이웨스트익선62,"Dish,Food,Cuisine,Torte,Dessert,Cake,Ingredient,Baked goods,Strawberry pie,Kuchen"
62,하이웨스트익선63,"Dish,Food,Cuisine,Ingredient,Curry,Hot pot,Meal,Gumbo,Produce,Stew"
63,하이웨스트익선64,"Food,Brunch,Dish,Cuisine,Meal,Baking,Bakery,Dessert,Ingredient,Breakfast"
64,하이웨스트익선65,"Biscuit,Food,Cookies and crackers,Snack,Cookie,Gocciole,Baked goods,Finger food,Cuisine,Chocolate chip"
65,하이웨스트익선66,"Dog,Canidae,Plate,Puppy,Dachshund,Carnivore,Fawn"
66,하이웨스트익선67,"Food,Dish,Cuisine,Dessert,Baked goods,Comfort food,Ingredient,Recipe,Finger food,Cream cheese"
67,하이웨스트익선68,"Food,Dessert,P?isserie,Cuisine,Sweetness,Dish,Baked goods,Cake,Torte,Baking"
68,하이웨스트익선69,"Dish,Food,Cuisine,Breakfast,Ingredient,Brunch,Meal,Caff?americano,Dessert,Turkish coffee"
69,하이웨스트익선70,"Food,Comfort food,Cuisine,Dish,Sweetness,Ingredient,Snack,Dessert,Recipe,Dairy"
70,하이웨스트익선71,"Food,Sweetness,Dish,Comfort food,Cuisine,Dessert,Cake,Baking,Baked goods,Torte"
71,하이웨스트익선72,"Yellow,Art"
72,하이웨스트익선73,"Food,Brunch,Cuisine,Dish,Meal,Sweetness,P?isserie,appetizer,Dessert,Bakery"
73,하이웨스트익선74,"Food,Dish,Cuisine,Brunch,Meal,Ingredient,Delicacy,Sweetness,Vegetarian food,Natural foods"
74,하이웨스트익선75,"Brunch,Food,Meal,Cuisine,Bakery,Bake sale,Baking,Sweetness,Dish,Table"
75,하이웨스트익선76,"Tree,Nature,Reflection,Leaf,Sky,Waterway,Red,Autumn,Natural landscape,Plant"
76,하이웨스트익선77,"Food,Cuisine,Sweetness,Dish,Dessert,P?isserie,Bake sale,Comfort food,Brunch,Finger food"
77,하이웨스트익선78,"Brunch,Meal,Table,Food,Buffet,Finger food,Party,Cuisine,Bakery,Furniture"
78,하이웨스트익선79,"Food,Cuisine,Dish,Delicacy,Delicatessen,Brunch,Meal,P?isserie,Bake sale,Sweetness"
79,하이웨스트익선80,"Food,Brunch,Table,Dish,Cuisine,Meal,Interior design,Restaurant,Breakfast,?la carte food"
80,하이웨스트익선81,"Food,Cuisine,Dish,Ingredient,Dessert,Drink,Brunch,Baked goods,Iced coffee,Pastry"
81,하이웨스트익선82,"Food,Brunch,Dish,Cuisine,Meal,Dessert,Baking,Bakery,Snack,Ingredient"
82,하이웨스트익선83,"Dish,Food,Cuisine,Ingredient,Dessert,Sweetness,Brunch,Frozen dessert,Breakfast,Drink"
83,하이웨스트익선84,"Table,Soil"
84,하이웨스트익선85,"Meal,Brunch,Food,Dish,Cuisine,Lunch,Breakfast,Buffet,Table,?la carte food"
85,하이웨스트익선86,"Food,Dish,Cuisine,Brunch,Baking,Ingredient,Finger food,Comfort food,Meal,Dessert"
86,하이웨스트익선87,"Food,Sweetness,Dessert,Cake,Cuisine,Baking,Dish,Cake decorating,Buttercream,Bake sale"
87,하이웨스트익선88,"Dish,Food,Cuisine,Meal,Brunch,Breakfast,Ingredient,Full breakfast,appetizer,Finger food"
88,하이웨스트익선89,"Food,Cuisine,Meal,Dish,Brunch,Delicacy,Ingredient,appetizer,Breakfast,Finger food"
89,하이웨스트익선90,"Dish,Food,Cuisine,Torte,Dessert,Cake,Ingredient,Baked goods,Strawberry pie,Kuchen"
90,하이웨스트익선91,"Room,Brunch,Building,Interior design,Table"
91,하이웨스트익선92,"Food,Brunch,Meal,Cuisine,P?isserie,Delicacy,Bakery,Delicatessen,Confectionery,Pastry"
92,하이웨스트익선93,"Food,Dish,Cuisine,Dessert,Baked goods,Ingredient,Cream,P?isserie,Sweetness,Baking"
93,하이웨스트익선94,"Food,Brunch,Meal,Dish,Comfort food,Cuisine,appetizer,Table,Finger food,Side dish"
94,하이웨스트익선95,"Food,Eyewear,Baking,Baked goods,Cuisine,Dish,Dessert,Glasses,Cake,Sunglasses"
95,하이웨스트익선96,"Food,Cuisine,Dish,Dessert,Frozen dessert,Ingredient,Sweetness,Baked goods,Snack,Baking"
96,하이웨스트익선97,"Food,Dish,Cuisine,Dessert,Ingredient,Coffee,Drink,Whipped cream,Frozen dessert,Frapp?coffee"
97,하이웨스트익선98,"Building,Property,Room,Restaurant,Interior design,Table,Furniture,Cafeteria,Floor,Ceiling"
98,하이웨스트익선99,"Mammal,Dog,Vertebrate,Canidae,Dog breed,Skin,Puppy,Nose,Companion dog,Pomeranian"
99,하이웨스트익선100,"Drink,Brunch,Food,Table,Breakfast,Coffeehouse,Tea,Ingredient,Cuisine,Frapp?coffee"
